timestamp,voltage_v,current_a,power_factor
2026-07-01 04:00:00,228.08,0.51,0.84
2026-07-01 04:05:00,233.06,0.86,0.82
2026-07-01 04:10:00,232.59,0.83,0.87
2026-07-01 04:15:00,230.63,1.27,0.87
2026-07-01 04:20:00,230.0,1.4,0.85
2026-07-01 04:25:00,227.53,1.61,0.87
2026-07-01 04:30:00,226.85,0.42,0.81
2026-07-01 04:35:00,232.53,1.03,0.82
2026-07-01 04:40:00,225.96,1.12,0.84
2026-07-01 04:45:00,229.94,1.21,0.81
2026-07-01 04:50:00,227.76,0.69,0.81
2026-07-01 04:55:00,230.0,1.59,0.82
2026-07-01 05:00:00,230.39,1.34,0.88
2026-07-01 05:05:00,225.37,1.2,0.82
2026-07-01 05:10:00,231.21,0.55,0.8
2026-07-01 05:15:00,228.28,1.72,0.84
2026-07-01 05:20:00,225.32,0.74,0.85
2026-07-01 05:25:00,229.41,1.04,0.85
2026-07-01 05:30:00,227.3,0.76,0.81
2026-07-01 05:35:00,230.59,0.48,0.82
2026-07-01 05:40:00,226.79,0.47,0.86
2026-07-01 05:45:00,225.99,0.75,0.82
2026-07-01 05:50:00,234.19,0.86,0.86
2026-07-01 05:55:00,229.55,1.0,0.82
2026-07-01 06:00:00,233.21,1.47,0.85
2026-07-01 06:05:00,230.24,1.77,0.84
2026-07-01 06:10:00,231.05,0.53,0.85
2026-07-01 06:15:00,231.83,0.47,0.83
2026-07-01 06:20:00,234.55,1.42,0.87
2026-07-01 06:25:00,226.56,0.56,0.8
2026-07-01 06:30:00,234.92,0.91,0.87
2026-07-01 06:35:00,229.51,1.01,0.84
2026-07-01 06:40:00,227.68,0.85,0.85
2026-07-01 06:45:00,226.08,1.07,0.82
2026-07-01 06:50:00,233.56,1.29,0.82
2026-07-01 06:55:00,234.06,0.66,0.81
2026-07-01 07:00:00,234.78,0.91,0.8
2026-07-01 07:05:00,227.07,1.19,0.8
2026-07-01 07:10:00,231.91,0.76,0.83
2026-07-01 07:15:00,225.79,0.83,0.83
2026-07-01 07:20:00,229.87,0.65,0.81
2026-07-01 07:25:00,228.71,1.57,0.8
2026-07-01 07:30:00,232.58,1.51,0.85
2026-07-01 07:35:00,228.93,1.76,0.83
2026-07-01 07:40:00,233.85,1.16,0.82
2026-07-01 07:45:00,230.87,1.14,0.81
2026-07-01 07:50:00,234.37,0.84,0.81
2026-07-01 07:55:00,231.41,0.4,0.82
2026-07-01 08:00:00,227.11,1.58,0.86
2026-07-01 08:05:00,227.41,1.11,0.86
2026-07-01 08:10:00,234.89,0.46,0.83
2026-07-01 08:15:00,234.17,1.0,0.81
2026-07-01 08:20:00,234.66,1.04,0.87
2026-07-01 08:25:00,232.8,1.4,0.85
2026-07-01 08:30:00,231.91,1.41,0.83
2026-07-01 08:35:00,225.7,1.24,0.82
2026-07-01 08:40:00,231.78,0.75,0.85
2026-07-01 08:45:00,230.43,0.82,0.83
2026-07-01 08:50:00,225.35,1.04,0.81
2026-07-01 08:55:00,229.2,1.46,0.85
2026-07-01 09:00:00,227.8,0.95,0.83
2026-07-01 09:05:00,232.16,1.2,0.83
2026-07-01 09:10:00,228.61,1.48,0.83
2026-07-01 09:15:00,230.65,1.04,0.84
2026-07-01 09:20:00,227.01,0.45,0.84
2026-07-01 09:25:00,226.21,0.63,0.87
2026-07-01 09:30:00,230.71,0.6,0.84
2026-07-01 09:35:00,233.85,1.53,0.87
2026-07-01 09:40:00,228.16,0.64,0.82
2026-07-01 09:45:00,231.78,1.48,0.85
2026-07-01 09:50:00,233.86,1.77,0.81
2026-07-01 09:55:00,228.26,1.64,0.85
2026-07-01 10:00:00,227.95,8.91,0.94
2026-07-01 10:05:00,229.84,5.03,0.94
2026-07-01 10:10:00,226.53,5.69,0.96
2026-07-01 10:15:00,232.65,5.84,0.98
2026-07-01 10:20:00,233.75,8.59,0.94
2026-07-01 10:25:00,234.01,8.88,0.94
2026-07-01 10:30:00,230.55,7.97,0.96
2026-07-01 10:35:00,231.06,6.0,0.93
2026-07-01 10:40:00,226.73,8.42,0.94
2026-07-01 10:45:00,234.82,6.83,0.94
2026-07-01 10:50:00,228.73,5.22,0.97
2026-07-01 10:55:00,225.5,5.64,0.98
2026-07-01 11:00:00,231.09,9.47,0.96
2026-07-01 11:05:00,231.8,8.05,0.93
2026-07-01 11:10:00,228.53,7.45,0.94
2026-07-01 11:15:00,230.97,5.7,0.92
2026-07-01 11:20:00,232.6,4.74,0.96
2026-07-01 11:25:00,231.3,8.9,0.93
2026-07-01 11:30:00,231.94,8.85,0.96
2026-07-01 11:35:00,232.4,9.39,0.93
2026-07-01 11:40:00,226.21,5.62,0.94
2026-07-01 11:45:00,226.42,9.18,0.94
2026-07-01 11:50:00,232.89,8.82,0.97
2026-07-01 11:55:00,225.32,4.9,0.96
2026-07-01 12:00:00,226.36,4.2,0.96
2026-07-01 12:05:00,231.81,4.21,0.93
2026-07-01 12:10:00,228.09,5.46,0.98
2026-07-01 12:15:00,227.23,6.91,0.96
2026-07-01 12:20:00,232.02,7.21,0.92
2026-07-01 12:25:00,233.34,8.53,0.97
2026-07-01 12:30:00,230.41,7.1,0.98
2026-07-01 12:35:00,228.4,4.92,0.95
2026-07-01 12:40:00,233.94,8.3,0.93
2026-07-01 12:45:00,228.34,9.0,0.94
2026-07-01 12:50:00,230.61,7.54,0.94
2026-07-01 12:55:00,225.86,7.59,0.94
2026-07-01 13:00:00,231.03,9.82,0.95
2026-07-01 13:05:00,234.86,5.14,0.96
2026-07-01 13:10:00,233.54,6.95,0.95
2026-07-01 13:15:00,232.85,6.13,0.97
2026-07-01 13:20:00,228.07,6.04,0.95
2026-07-01 13:25:00,230.32,6.02,0.96
2026-07-01 13:30:00,228.17,9.67,0.95
2026-07-01 13:35:00,229.14,7.04,0.92
2026-07-01 13:40:00,225.7,5.2,0.92
2026-07-01 13:45:00,227.22,9.38,0.93
2026-07-01 13:50:00,228.81,4.93,0.97
2026-07-01 13:55:00,230.49,4.98,0.95
2026-07-01 14:00:00,228.29,5.3,0.97
2026-07-01 14:05:00,234.04,4.39,0.93
2026-07-01 14:10:00,227.66,6.87,0.95
2026-07-01 14:15:00,232.01,4.15,0.94
2026-07-01 14:20:00,234.68,7.39,0.95
2026-07-01 14:25:00,227.76,5.72,0.95
2026-07-01 14:30:00,225.63,4.86,0.98
2026-07-01 14:35:00,234.29,9.76,0.93
2026-07-01 14:40:00,231.81,8.86,0.97
2026-07-01 14:45:00,232.9,4.03,0.95
2026-07-01 14:50:00,232.58,4.68,0.97
2026-07-01 14:55:00,225.2,8.63,0.94
2026-07-01 15:00:00,227.95,9.37,0.93
2026-07-01 15:05:00,232.47,6.81,0.97
2026-07-01 15:10:00,231.01,7.71,0.96
2026-07-01 15:15:00,230.71,8.82,0.94
2026-07-01 15:20:00,231.17,7.32,0.94
2026-07-01 15:25:00,230.98,4.9,0.96
2026-07-01 15:30:00,234.08,8.63,0.97
2026-07-01 15:35:00,231.09,5.03,0.93
2026-07-01 15:40:00,234.13,7.57,0.96
2026-07-01 15:45:00,229.73,4.77,0.94
2026-07-01 15:50:00,233.95,6.96,0.96
2026-07-01 15:55:00,226.96,8.67,0.94
2026-07-01 16:00:00,226.39,8.2,0.98
2026-07-01 16:05:00,228.41,5.45,0.94
2026-07-01 16:10:00,226.06,7.74,0.94
2026-07-01 16:15:00,229.12,8.68,0.93
2026-07-01 16:20:00,226.34,8.34,0.97
2026-07-01 16:25:00,232.86,6.5,0.95
2026-07-01 16:30:00,225.5,9.46,0.97
2026-07-01 16:35:00,234.92,5.67,0.96
2026-07-01 16:40:00,228.76,8.13,0.95
2026-07-01 16:45:00,228.85,6.72,0.96
2026-07-01 16:50:00,228.61,5.97,0.93
2026-07-01 16:55:00,232.13,4.61,0.92
2026-07-01 17:00:00,233.0,8.69,0.92
2026-07-01 17:05:00,227.88,9.77,0.97
2026-07-01 17:10:00,230.65,8.96,0.98
2026-07-01 17:15:00,229.59,5.41,0.98
2026-07-01 17:20:00,227.07,5.39,0.92
2026-07-01 17:25:00,233.62,4.61,0.95
2026-07-01 17:30:00,227.29,4.88,0.92
2026-07-01 17:35:00,226.92,7.57,0.95
2026-07-01 17:40:00,229.2,4.54,0.92
2026-07-01 17:45:00,225.32,5.02,0.94
2026-07-01 17:50:00,229.45,7.62,0.97
2026-07-01 17:55:00,234.38,5.94,0.97
2026-07-01 18:00:00,230.97,8.59,0.95
2026-07-01 18:05:00,230.94,5.78,0.95
2026-07-01 18:10:00,229.24,6.12,0.95
2026-07-01 18:15:00,227.3,9.85,0.94
2026-07-01 18:20:00,229.39,9.46,0.94
2026-07-01 18:25:00,227.75,7.79,0.93
2026-07-01 18:30:00,230.01,9.07,0.93
2026-07-01 18:35:00,234.21,9.25,0.92
2026-07-01 18:40:00,226.19,4.14,0.94
2026-07-01 18:45:00,226.82,7.05,0.94
2026-07-01 18:50:00,232.05,9.17,0.97
2026-07-01 18:55:00,227.24,6.45,0.94
2026-07-01 19:00:00,226.5,2.98,0.91
2026-07-01 19:05:00,225.45,5.87,0.94
2026-07-01 19:10:00,230.98,5.25,0.89
2026-07-01 19:15:00,231.37,3.82,0.91
2026-07-01 19:20:00,225.07,4.14,0.9
2026-07-01 19:25:00,234.87,4.17,0.93
2026-07-01 19:30:00,226.22,3.04,0.9
2026-07-01 19:35:00,226.04,5.67,0.93
2026-07-01 19:40:00,227.27,4.28,0.89
2026-07-01 19:45:00,234.74,3.77,0.92
2026-07-01 19:50:00,229.39,2.85,0.93
2026-07-01 19:55:00,234.14,4.19,0.93
2026-07-01 20:00:00,232.3,4.81,0.9
2026-07-01 20:05:00,231.58,5.72,0.89
2026-07-01 20:10:00,227.25,4.37,0.89
2026-07-01 20:15:00,225.75,2.61,0.91
2026-07-01 20:20:00,234.12,3.49,0.91
2026-07-01 20:25:00,229.54,3.47,0.92
2026-07-01 20:30:00,233.04,4.41,0.89
2026-07-01 20:35:00,227.18,3.35,0.93
2026-07-01 20:40:00,229.24,5.94,0.94
2026-07-01 20:45:00,229.24,5.82,0.92
2026-07-01 20:50:00,227.52,3.45,0.93
2026-07-01 20:55:00,228.09,3.88,0.92
2026-07-01 21:00:00,232.21,4.01,0.9
2026-07-01 21:05:00,232.26,5.54,0.93
2026-07-01 21:10:00,227.21,2.71,0.92
2026-07-01 21:15:00,233.02,3.53,0.89
2026-07-01 21:20:00,233.99,4.84,0.93
2026-07-01 21:25:00,233.3,3.7,0.91
2026-07-01 21:30:00,226.91,4.41,0.93
2026-07-01 21:35:00,227.05,5.86,0.9
2026-07-01 21:40:00,232.0,5.37,0.93
2026-07-01 21:45:00,227.47,4.95,0.89
2026-07-01 21:50:00,227.35,3.83,0.92
2026-07-01 21:55:00,226.64,4.45,0.93
2026-07-01 22:00:00,226.97,5.11,0.93
2026-07-01 22:05:00,228.13,5.35,0.88
2026-07-01 22:10:00,225.1,5.62,0.93
2026-07-01 22:15:00,226.76,2.63,0.91
2026-07-01 22:20:00,232.77,5.84,0.91
2026-07-01 22:25:00,227.02,5.2,0.93
2026-07-01 22:30:00,231.43,3.16,0.92
2026-07-01 22:35:00,226.21,2.82,0.89
2026-07-01 22:40:00,227.3,4.54,0.92
2026-07-01 22:45:00,227.78,5.06,0.9
2026-07-01 22:50:00,231.78,4.39,0.89
2026-07-01 22:55:00,227.2,2.78,0.92
2026-07-01 23:00:00,230.89,5.4,0.92
2026-07-01 23:05:00,234.73,4.28,0.93
2026-07-01 23:10:00,229.34,3.91,0.92
2026-07-01 23:15:00,234.5,4.36,0.91
2026-07-01 23:20:00,231.45,3.95,0.91
2026-07-01 23:25:00,228.14,5.52,0.92
2026-07-01 23:30:00,229.85,4.58,0.89
2026-07-01 23:35:00,225.56,2.6,0.92
2026-07-01 23:40:00,234.02,5.92,0.89
2026-07-01 23:45:00,225.59,5.5,0.91
2026-07-01 23:50:00,233.88,3.34,0.89
2026-07-01 23:55:00,232.35,2.83,0.91
2026-07-02 00:00:00,227.34,1.78,0.85
2026-07-02 00:05:00,225.27,0.83,0.82
2026-07-02 00:10:00,233.64,1.64,0.82
2026-07-02 00:15:00,227.32,1.16,0.88
2026-07-02 00:20:00,229.44,0.44,0.81
2026-07-02 00:25:00,232.67,0.6,0.85
2026-07-02 00:30:00,233.24,1.17,0.88
2026-07-02 00:35:00,233.71,0.99,0.83
2026-07-02 00:40:00,225.29,1.41,0.85
2026-07-02 00:45:00,232.31,1.65,0.87
2026-07-02 00:50:00,226.09,1.77,0.85
2026-07-02 00:55:00,231.51,1.39,0.87
2026-07-02 01:00:00,231.03,0.68,0.82
2026-07-02 01:05:00,225.1,0.87,0.8
2026-07-02 01:10:00,225.25,1.01,0.82
2026-07-02 01:15:00,233.64,1.12,0.86
2026-07-02 01:20:00,234.83,1.8,0.86
2026-07-02 01:25:00,228.95,1.69,0.81
2026-07-02 01:30:00,226.18,0.69,0.81
2026-07-02 01:35:00,234.31,0.42,0.87
2026-07-02 01:40:00,226.81,0.78,0.82
2026-07-02 01:45:00,232.74,1.13,0.81
2026-07-02 01:50:00,227.4,0.94,0.86
2026-07-02 01:55:00,229.6,0.79,0.86
2026-07-02 02:00:00,230.5,0.54,0.8
2026-07-02 02:05:00,231.17,1.56,0.88
2026-07-02 02:10:00,230.63,0.73,0.84
2026-07-02 02:15:00,234.45,1.64,0.86
2026-07-02 02:20:00,234.74,1.56,0.85
2026-07-02 02:25:00,229.27,0.7,0.81
2026-07-02 02:30:00,226.27,1.52,0.82
2026-07-02 02:35:00,231.67,0.62,0.81
2026-07-02 02:40:00,232.43,0.42,0.8
2026-07-02 02:45:00,230.06,1.62,0.82
2026-07-02 02:50:00,229.77,1.53,0.85
2026-07-02 02:55:00,230.39,0.53,0.84
2026-07-02 03:00:00,228.57,1.25,0.87
2026-07-02 03:05:00,228.85,1.42,0.86
2026-07-02 03:10:00,226.66,0.87,0.85
2026-07-02 03:15:00,225.06,0.96,0.85
2026-07-02 03:20:00,233.41,1.41,0.84
2026-07-02 03:25:00,233.33,0.42,0.83
2026-07-02 03:30:00,229.99,0.43,0.86
2026-07-02 03:35:00,232.38,0.88,0.86
2026-07-02 03:40:00,230.56,0.93,0.85
2026-07-02 03:45:00,232.76,0.78,0.82
2026-07-02 03:50:00,233.09,1.8,0.84
2026-07-02 03:55:00,234.67,1.27,0.82
2026-07-02 04:00:00,233.5,1.41,0.87
2026-07-02 04:05:00,228.98,0.83,0.83
2026-07-02 04:10:00,234.95,0.86,0.87
2026-07-02 04:15:00,226.67,1.61,0.81
2026-07-02 04:20:00,228.75,1.5,0.87
2026-07-02 04:25:00,227.22,0.63,0.83
2026-07-02 04:30:00,227.83,1.27,0.85
2026-07-02 04:35:00,227.49,1.66,0.83
2026-07-02 04:40:00,233.87,0.55,0.84
2026-07-02 04:45:00,225.69,1.59,0.86
2026-07-02 04:50:00,231.09,1.38,0.86
2026-07-02 04:55:00,231.98,1.23,0.8
2026-07-02 05:00:00,233.74,0.9,0.88
2026-07-02 05:05:00,229.88,1.1,0.81
2026-07-02 05:10:00,227.36,0.78,0.85
2026-07-02 05:15:00,231.63,0.97,0.82
2026-07-02 05:20:00,227.44,1.36,0.82
2026-07-02 05:25:00,229.25,1.57,0.81
2026-07-02 05:30:00,226.91,0.95,0.83
2026-07-02 05:35:00,234.78,0.84,0.82
2026-07-02 05:40:00,227.01,1.24,0.87
2026-07-02 05:45:00,234.97,1.67,0.87
2026-07-02 05:50:00,225.49,1.27,0.82
2026-07-02 05:55:00,234.55,1.74,0.85
2026-07-02 06:00:00,227.16,0.49,0.87
2026-07-02 06:05:00,234.57,1.05,0.84
2026-07-02 06:10:00,226.05,0.87,0.81
2026-07-02 06:15:00,231.01,1.3,0.86
2026-07-02 06:20:00,229.68,1.44,0.84
2026-07-02 06:25:00,234.85,1.45,0.81
2026-07-02 06:30:00,231.28,0.74,0.85
2026-07-02 06:35:00,232.43,1.61,0.87
2026-07-02 06:40:00,234.37,1.25,0.83
2026-07-02 06:45:00,232.52,0.69,0.85
2026-07-02 06:50:00,227.05,1.13,0.8
2026-07-02 06:55:00,234.92,1.55,0.8
2026-07-02 07:00:00,229.04,1.65,0.81
2026-07-02 07:05:00,233.97,1.57,0.85
2026-07-02 07:10:00,230.3,1.49,0.82
2026-07-02 07:15:00,230.41,0.61,0.84
2026-07-02 07:20:00,230.14,1.56,0.8
2026-07-02 07:25:00,231.38,0.49,0.81
2026-07-02 07:30:00,232.06,0.53,0.87
2026-07-02 07:35:00,229.45,1.72,0.85
2026-07-02 07:40:00,229.39,1.15,0.85
2026-07-02 07:45:00,229.91,0.62,0.87
2026-07-02 07:50:00,234.71,0.68,0.85
2026-07-02 07:55:00,225.84,1.43,0.81
2026-07-02 08:00:00,231.31,0.97,0.83
2026-07-02 08:05:00,227.85,0.81,0.88
2026-07-02 08:10:00,229.48,1.18,0.81
2026-07-02 08:15:00,231.39,1.24,0.85
2026-07-02 08:20:00,229.24,1.08,0.81
2026-07-02 08:25:00,227.19,1.16,0.81
2026-07-02 08:30:00,232.37,1.09,0.84
2026-07-02 08:35:00,233.84,1.6,0.85
2026-07-02 08:40:00,233.27,0.84,0.82
2026-07-02 08:45:00,231.13,0.89,0.88
2026-07-02 08:50:00,232.23,0.72,0.87
2026-07-02 08:55:00,232.88,0.99,0.81
2026-07-02 09:00:00,230.43,1.38,0.83
2026-07-02 09:05:00,225.49,0.93,0.83
2026-07-02 09:10:00,232.02,1.03,0.82
2026-07-02 09:15:00,227.99,1.23,0.82
2026-07-02 09:20:00,233.5,1.67,0.85
2026-07-02 09:25:00,228.23,1.78,0.87
2026-07-02 09:30:00,228.59,1.45,0.82
2026-07-02 09:35:00,233.83,0.65,0.81
2026-07-02 09:40:00,225.97,0.86,0.8
2026-07-02 09:45:00,229.17,0.64,0.81
2026-07-02 09:50:00,228.28,1.32,0.88
2026-07-02 09:55:00,232.22,1.06,0.84
2026-07-02 10:00:00,226.13,4.02,0.96
2026-07-02 10:05:00,230.86,4.01,0.94
2026-07-02 10:10:00,226.06,9.45,0.94
2026-07-02 10:15:00,234.97,8.34,0.95
2026-07-02 10:20:00,225.09,6.42,0.97
2026-07-02 10:25:00,234.84,6.13,0.96
2026-07-02 10:30:00,230.37,8.07,0.96
2026-07-02 10:35:00,233.46,7.69,0.93
2026-07-02 10:40:00,231.98,7.56,0.95
2026-07-02 10:45:00,232.09,7.72,0.92
2026-07-02 10:50:00,226.62,7.97,0.97
2026-07-02 10:55:00,232.37,4.75,0.95
2026-07-02 11:00:00,231.91,6.05,0.93
2026-07-02 11:05:00,230.62,5.4,0.93
2026-07-02 11:10:00,225.36,4.98,0.94
2026-07-02 11:15:00,234.15,5.9,0.94
2026-07-02 11:20:00,232.98,7.09,0.92
2026-07-02 11:25:00,233.04,8.31,0.93
2026-07-02 11:30:00,228.48,4.38,0.94
2026-07-02 11:35:00,227.43,6.49,0.96
2026-07-02 11:40:00,232.13,5.74,0.93
2026-07-02 11:45:00,225.49,5.15,0.97
2026-07-02 11:50:00,228.89,8.23,0.94
2026-07-02 11:55:00,228.33,6.53,0.93
2026-07-02 12:00:00,225.12,7.24,0.94
2026-07-02 12:05:00,234.92,7.45,0.97
2026-07-02 12:10:00,234.43,4.43,0.97
2026-07-02 12:15:00,233.38,7.08,0.96
2026-07-02 12:20:00,229.77,8.57,0.93
2026-07-02 12:25:00,231.01,6.45,0.95
2026-07-02 12:30:00,232.94,4.08,0.95
2026-07-02 12:35:00,228.41,6.66,0.94
2026-07-02 12:40:00,229.21,5.22,0.97
2026-07-02 12:45:00,226.76,5.87,0.92
2026-07-02 12:50:00,234.82,5.89,0.93
2026-07-02 12:55:00,233.31,7.56,0.98
2026-07-02 13:00:00,226.33,7.09,0.95
2026-07-02 13:05:00,234.31,4.04,0.93
2026-07-02 13:10:00,226.79,7.69,0.97
2026-07-02 13:15:00,228.84,4.11,0.98
2026-07-02 13:20:00,229.74,9.33,0.95
2026-07-02 13:25:00,228.29,5.61,0.94
2026-07-02 13:30:00,233.9,9.03,0.92
2026-07-02 13:35:00,227.12,4.65,0.95
2026-07-02 13:40:00,225.92,9.95,0.96
2026-07-02 13:45:00,225.71,8.67,0.95
2026-07-02 13:50:00,226.76,9.36,0.95
2026-07-02 13:55:00,227.04,7.33,0.93
2026-07-02 14:00:00,231.8,6.74,0.93
2026-07-02 14:05:00,231.87,5.51,0.94
2026-07-02 14:10:00,225.88,8.56,0.93
2026-07-02 14:15:00,232.76,6.62,0.95
2026-07-02 14:20:00,226.36,8.12,0.95
2026-07-02 14:25:00,228.36,6.44,0.98
2026-07-02 14:30:00,233.61,5.12,0.92
2026-07-02 14:35:00,229.39,9.25,0.92
2026-07-02 14:40:00,226.05,7.7,0.98
2026-07-02 14:45:00,227.65,6.65,0.93
2026-07-02 14:50:00,228.26,9.41,0.97
2026-07-02 14:55:00,231.28,5.26,0.95
2026-07-02 15:00:00,227.7,5.36,0.98
2026-07-02 15:05:00,233.44,8.88,0.93
2026-07-02 15:10:00,231.71,8.9,0.96
2026-07-02 15:15:00,230.13,5.93,0.94
2026-07-02 15:20:00,227.45,4.27,0.93
2026-07-02 15:25:00,226.7,7.73,0.97
2026-07-02 15:30:00,229.79,8.97,0.96
2026-07-02 15:35:00,225.77,8.33,0.93
2026-07-02 15:40:00,227.38,4.51,0.96
2026-07-02 15:45:00,226.65,4.76,0.98
2026-07-02 15:50:00,229.15,4.43,0.93
2026-07-02 15:55:00,230.79,4.03,0.98
2026-07-02 16:00:00,231.94,9.06,0.97
2026-07-02 16:05:00,232.88,5.23,0.95
2026-07-02 16:10:00,230.52,4.51,0.97
2026-07-02 16:15:00,229.6,7.59,0.93
2026-07-02 16:20:00,228.36,4.47,0.92
2026-07-02 16:25:00,233.77,9.28,0.93
2026-07-02 16:30:00,227.5,5.53,0.96
2026-07-02 16:35:00,226.38,5.24,0.93
2026-07-02 16:40:00,225.72,8.65,0.92
2026-07-02 16:45:00,230.78,5.35,0.96
2026-07-02 16:50:00,232.39,7.28,0.98
2026-07-02 16:55:00,234.92,8.29,0.93
2026-07-02 17:00:00,228.66,5.17,0.94
2026-07-02 17:05:00,227.62,5.69,0.98
2026-07-02 17:10:00,225.76,9.38,0.96
2026-07-02 17:15:00,232.03,4.82,0.97
2026-07-02 17:20:00,227.13,5.33,0.96
2026-07-02 17:25:00,225.61,6.0,0.95
2026-07-02 17:30:00,229.2,6.16,0.93
2026-07-02 17:35:00,227.98,5.62,0.93
2026-07-02 17:40:00,230.8,7.85,0.97
2026-07-02 17:45:00,231.04,4.08,0.94
2026-07-02 17:50:00,226.78,8.22,0.93
2026-07-02 17:55:00,229.99,4.2,0.95
2026-07-02 18:00:00,226.43,4.57,0.93
2026-07-02 18:05:00,227.34,7.49,0.96
2026-07-02 18:10:00,225.69,5.84,0.97
2026-07-02 18:15:00,231.46,6.7,0.95
2026-07-02 18:20:00,233.38,5.09,0.96
2026-07-02 18:25:00,228.16,4.56,0.93
2026-07-02 18:30:00,225.83,7.03,0.97
2026-07-02 18:35:00,226.46,5.86,0.93
2026-07-02 18:40:00,228.3,8.98,0.96
2026-07-02 18:45:00,225.27,7.06,0.98
2026-07-02 18:50:00,233.02,8.74,0.93
2026-07-02 18:55:00,227.78,9.97,0.94
2026-07-02 19:00:00,226.14,3.11,0.89
2026-07-02 19:05:00,225.05,3.92,0.92
2026-07-02 19:10:00,229.49,4.31,0.89
2026-07-02 19:15:00,231.4,4.9,0.94
2026-07-02 19:20:00,233.98,2.65,0.92
2026-07-02 19:25:00,230.0,3.09,0.94
2026-07-02 19:30:00,233.04,3.03,0.94
2026-07-02 19:35:00,226.86,5.87,0.88
2026-07-02 19:40:00,228.38,3.86,0.9
2026-07-02 19:45:00,229.82,3.44,0.9
2026-07-02 19:50:00,230.15,3.53,0.9
2026-07-02 19:55:00,225.68,5.67,0.9
2026-07-02 20:00:00,232.99,5.7,0.91
2026-07-02 20:05:00,234.47,5.1,0.89
2026-07-02 20:10:00,227.08,2.81,0.91
2026-07-02 20:15:00,234.4,3.69,0.91
2026-07-02 20:20:00,228.09,5.5,0.9
2026-07-02 20:25:00,228.42,5.54,0.94
2026-07-02 20:30:00,227.7,2.88,0.89
2026-07-02 20:35:00,231.17,5.0,0.89
2026-07-02 20:40:00,234.63,3.58,0.93
2026-07-02 20:45:00,230.53,3.44,0.89
2026-07-02 20:50:00,233.38,4.17,0.91
2026-07-02 20:55:00,234.96,5.88,0.9
2026-07-02 21:00:00,228.87,5.44,0.89
2026-07-02 21:05:00,229.63,2.69,0.9
2026-07-02 21:10:00,226.45,3.17,0.94
2026-07-02 21:15:00,234.88,5.2,0.88
2026-07-02 21:20:00,225.85,3.29,0.91
2026-07-02 21:25:00,232.92,3.24,0.9
2026-07-02 21:30:00,230.83,4.43,0.91
2026-07-02 21:35:00,228.67,3.27,0.9
2026-07-02 21:40:00,233.18,3.65,0.92
2026-07-02 21:45:00,230.89,3.22,0.94
2026-07-02 21:50:00,231.5,3.96,0.88
2026-07-02 21:55:00,229.91,3.87,0.92
2026-07-02 22:00:00,233.92,2.9,0.93
2026-07-02 22:05:00,228.21,3.88,0.89
2026-07-02 22:10:00,226.14,4.78,0.91
2026-07-02 22:15:00,231.19,4.01,0.89
2026-07-02 22:20:00,229.79,5.36,0.89
2026-07-02 22:25:00,227.97,4.74,0.93
